JOBID        USER    ACCOUNT              STATE        CPU MIN_ME         TIME END_TIME             NODELIST(REASON)
22563042     madero  weddigen.ki.uzh      RUNNING        8 62850M      1:46:14 2025-07-25T09:55:33  u20-chaiam0-611
22550332_0   joppli  chang.physik.uzh     RUNNING        4    64G     13:20:53 2025-07-25T00:20:54  u20-chaiam0-611
22550332_1   joppli  chang.physik.uzh     RUNNING        4    64G     13:20:53 2025-07-25T00:20:54  u20-chaiam0-612
22550332_2   joppli  chang.physik.uzh     RUNNING        4    64G     13:20:53 2025-07-25T00:20:54  u20-chaiam0-612
22550332_3   joppli  chang.physik.uzh     RUNNING        4    64G     13:20:53 2025-07-25T00:20:54  u20-chaiam0-612
22550332_4   joppli  chang.physik.uzh     RUNNING        4    64G     13:20:53 2025-07-25T00:20:54  u20-chaiam0-612
22540412     joppli  chang.physik.uzh     RUNNING        4    64G     21:23:16 2025-07-24T16:18:31  u20-chaiam0-612
22551128     joppli  chang.physik.uzh     RUNNING        4    64G     11:55:15 2025-07-25T01:46:32  u20-chaiam0-611
22565074     joppli  chang.physik.uzh     RUNNING        4    64G      1:12:02 2025-07-25T12:29:45  u20-chaiam0-611
22563090     joppli  chang.physik.uzh     RUNNING        4    64G      1:44:39 2025-07-25T11:57:08  u20-chaiam0-612
22560402     joppli  chang.physik.uzh     RUNNING        4    64G      4:37:07 2025-07-25T09:04:40  u20-chaiam0-611
22562388     glcame  keller.ieu.uzh       COMPLETING     6    36G      2:22:22 2025-07-24T13:27:52  u20-cva0000-204
22566691     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T12:10:00  (Priority)
22566692     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T12:10:00  (Priority)
22566693     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T12:10:00  (Priority)
22566686     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T12:09:00  (Priority)
22566687     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T12:09:00  (Priority)
22566688     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T12:09:00  (Priority)
22566689     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T12:09:00  (Priority)
22566690     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T12:09:00  (Priority)
22566685     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T12:08:00  (Priority)
22566684     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T11:59:00  (Priority)
22566682     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T11:42:00  (Priority)
22566683     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T11:42:00  (Priority)
22566681     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T11:41:00  (Priority)
22566678     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T11:40:00  (Priority)
22566679     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T11:40:00  (Priority)
22566680     ncanta  regli.med.uzh        PENDING        1    32G         0:00 2025-07-25T11:40:00  (Priority)
